trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'e': 0.681936222248606, 'a': 0.7}",20,0,-48.7975708068848,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
88,False,"{'e': 0.6759612133372065, 'a': 0.7}",20,0,-15.811306105350535,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
89,False,"{'e': 0.6699715525795253, 'a': 0.7}",20,0,-126.28679371712873,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
90,False,"{'e': 0.6639685624296295, 'a': 0.7}",30,0,-161.4170711783343,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
91,False,"{'e': 0.6579535575390798, 'a': 0.7}",25,0,-58.85498403805069,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
92,False,"{'e': 0.651927844303351, 'a': 0.7}",30,0,-80.442896980994,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
93,False,"{'e': 0.6458927204164485, 'a': 0.7}",20,0,-20.88860235671594,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
94,False,"{'e': 0.6398494744339112, 'a': 0.7}",30,19,-29.45384504838872,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
95,False,"{'e': 0.633799385344387, 'a': 0.7}",25,0,-82.73996441194038,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
96,False,"{'e': 0.6277437221499559, 'a': 0.7}",20,0,-47.78668871013137,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
97,False,"{'e': 0.6216837434553701, 'a': 0.7}",20,0,-11.434721348415653,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
98,False,"{'e': 0.615620697066372, 'a': 0.7}",20,8,-56.26816950662507,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
99,False,"{'e': 0.6095558195972427, 'a': 0.7}",20,3,-109.66302923952126,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
100,False,"{'e': 0.6034903360877273, 'a': 0.7}",25,11,-43.45682704597597,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'e': 0.5974254596294731, 'a': 0.7}",25,7,-48.16344031552241,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
102,False,"{'e': 0.5913623910021109, 'a': 0.7}",20,0,-12.668069230953972,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
103,False,"{'e': 0.5853023183190996, 'a': 0.7}",30,2,-62.99706674832649,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1
104,False,"{'e': 0.5792464166834494, 'a': 0.7}",25,0,-60.68793852819587,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
105,False,"{'e': 0.5731958478534263, 'a': 0.7}",30,0,-110.44826111748823,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
106,False,"{'e': 0.5671517599183367, 'a': 0.7}",30,6,-47.74070269653336,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
107,False,"{'e': 0.561115286984482, 'a': 0.7}",25,1,-156.4253224858789,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 3}",1
108,False,"{'e': 0.5550875488713622, 'a': 0.7}",25,16,-6.695729792886143,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'e': 0.5490696508182039, 'a': 0.7}",20,0,-11.32465494771366,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
110,False,"{'e': 0.543062683200876, 'a': 0.7}",20,6,-25.54610411504699,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'e': 0.5370677212592531, 'a': 0.7}",25,0,-86.0268870049971,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
112,False,"{'e': 0.5310858248350724, 'a': 0.7}",20,2,-12.329034400816049,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
113,False,"{'e': 0.5251180381203299, 'a': 0.7}",25,10,-3.4424429546431177,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'e': 0.5191653894162455, 'a': 0.7}",20,9,-6.547402126270441,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'e': 0.5132288909028264, 'a': 0.7}",20,0,-18.45422562236451,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
116,False,"{'e': 0.5073095384190456, 'a': 0.7}",25,11,-76.01964033821424,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
117,False,"{'e': 0.5014083112536462, 'a': 0.7}",25,19,-0.011239053931102916,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'e': 0.49552617194657567, 'a': 0.7}",20,1,14.489429929433875,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.48966406610104524, 'a': 0.7}",20,0,-13.846419767076686,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
120,False,"{'e': 0.4838229222062032, 'a': 0.7}",30,0,-11.442930576705638,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
121,False,"{'e': 0.4780036514704033, 'a': 0.7}",20,6,-40.684408386606236,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'e': 0.4722071476650423, 'a': 0.7}",35,0,-44.87223612408647,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
123,False,"{'e': 0.4664342869789341, 'a': 0.7}",20,0,28.094871356995238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'e': 0.46068592788317975, 'a': 0.7}",25,0,-41.55781401828611,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
125,False,"{'e': 0.45496291100648767, 'a': 0.7}",25,0,-23.965428015522317,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
126,False,"{'e': 0.44926605902088995, 'a': 0.7}",25,3,25.05559432988936,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'e': 0.4435961765377949, 'a': 0.7}",25,19,12.217881416798555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.43795405001430954, 'a': 0.7}",25,2,16.283237410880027,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'e': 0.4323404476697596, 'a': 0.7}",25,8,-45.66243271632808,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'e': 0.4267561194123272, 'a': 0.7}",20,0,-10.929222429337125,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
131,False,"{'e': 0.4212017967757224, 'a': 0.7}",20,0,-110.41872844148935,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
132,False,"{'e': 0.4156781928657965, 'a': 0.7}",30,0,-10.930527329639109,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
133,False,"{'e': 0.41018600231700203, 'a': 0.7}",20,5,-26.04762769290413,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'e': 0.40472590125859587, 'a': 0.7}",25,0,-46.580148014931936,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
135,False,"{'e': 0.3992985472904784, 'a': 0.7}",20,0,-47.42689381453501,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
136,False,"{'e': 0.3939045794685562, 'a': 0.7}",20,0,0.4421056126648817,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
137,False,"{'e': 0.38854461829950926, 'a': 0.7}",20,0,-0.25334203625157414,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
138,False,"{'e': 0.3832192657448408, 'a': 0.7}",25,7,-29.3329914844925,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'e': 0.3779291052340811, 'a': 0.7}",25,0,-52.59194454894646,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
140,False,"{'e': 0.37267470168701333, 'a': 0.7}",20,8,7.382220410441031,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'e': 0.36745660154478443, 'a': 0.7}",20,0,-80.83729463684377,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
142,False,"{'e': 0.3622753328097595, 'a': 0.7}",20,0,-100.17885897444344,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
143,False,"{'e': 0.357131405093975, 'a': 0.7}",25,5,-13.276282178004216,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
144,False,"{'e': 0.35202530967604106, 'a': 0.7}",25,13,10.48732812793989,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'e': 0.3469575195663401, 'a': 0.7}",35,14,-29.274810867322447,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
146,False,"{'e': 0.3419284895803648, 'a': 0.7}",25,0,-42.92352081048865,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
147,False,"{'e': 0.336938656420036, 'a': 0.7}",25,14,-3.865476963247185,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'e': 0.3319884387628363, 'a': 0.7}",20,16,6.766481964917815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.327078237358594, 'a': 0.7}",25,9,25.799784429335006,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.32220843513374736, 'a': 0.7}",20,0,11.73748663055512,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
